CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060146600|||X||||
060146700|||X||||
060146800|||X||||
060147100||X|||||
060147200|X|X|||||
060147300||||X|||
060147400|||X||||
060147500|||||||
060147501|||||||
060147502|||||||
060147503|||||||
060147600|||X||||
060147800|X|X|||||
060147900||||X|X||
060148000|||X||||
060148100||X|||||
060148200|||X||||
060148300||||X|||
060148400|||X||||
060148600|||X||||
060148800|||X||||
060148900|||X||||
060149600|||||||
060149601|||||||
060149602|||||||
060149603|||||||
060149700|X|X|||||
060150100|X|X|X||||
060150200|||||||
060150300||X|||||
060150400||X|||||
060150500||X|||||
060150800|||X||||
060150900|||X||||
060151000|||X||||
060151200|||X||||
060151300|X|X|||||
060151500|||X||||
060151700|X|X|||||
060151800|||X||||
060151900|||X||||
060152000||X|||||
060152100||||X|||
060152300|||X||||
060152400|||X||||
060152500|||X||||
060152700|||X||||
060153000|||X||||
060153100|||X||||
060153200|||X||||
060153300|X|X|||||
060153500|||X||||
060153600|||X||||
060153800|||X||||
060153900|||||||
060154000|||X||||
060154100|||X||||
060154200|||X||||
060154300|||X||||
060154400||X|||||
060154600|||X||||
060154700||X|X||||
060154800|||X||||
060154900|||X||||
060155000||X|||||
060155200|||X||||
060155300|||X||||
060155400|||X||||
060155500|||X||||
060155600|||||||
060155700||X|||||
060155900|||X||||
060156000|||X||||
060156200||X|||||
060156300||X|||||
060156600|||X||||
060156700|X|X|||||
060156800|||X||||
060156900|||X||||
060157100|||X||||
060157300|||X||||
060157400|||X||||
060157500||X|||||
060157600||X|||||
060157700|||X||||
060157800|||X||||
060157900|||X||||
060158000|||X||||
060158300|||X||||
060158500|||X||||
060158600|||X||||
060158700|||X||||
060158800|||X||||
060158900|X|X|||||
060159100|||X||||
060159200|||X||||
060159500|||X||||
060159800|X|X|||||
060159900|||X||||
060160000|||X||||
060160100||X|||||
060160200|||X||||
060160400|||X||||
060160500||X|||||
060160600|||||||
060160700|||X||||
060160800|X|X|||||
060161000||X|X||||
060161500|||X||||
060161600|X|X|||||
060161700|||X||||
060161800|||X||||
060161900|||X||||
060162000||||X|||
060162300|||X||||
060162400||||X|X||
060162500|||X||||
060162700||||X|||
060162800|||X||||
060163000|||X||||
060163100||X|||||
060163400|X|X|||||
060163700||X|||||
060163800||X|||||
060163900|||X||||
060164000||X|||||
060164100||X|||||
060164200|||X||||
060164300||||X|||
060164301||||X|||
060164302||||X|||
060164400|||X||||
060164500||X|||||
060164700|||X||||
060164800||X|||||
060164900|||X||||
060165100||X|||||
060165200|||||||
060165300||X|||||
060165400|||X||||
060165500|||X||||
060165600|X|X|||||
060165900|X|X|||||
060166000|X|X|||||
060166100||X|||||
060166200|||X||||
060166300|||X||||
060166400|||X||||
060166600|X|X|||||
060166700|X|X|||||
060167000|||X||||
060167100||||X|||
060167101||||X|||
060167200|||||||
060167300||X|||||
060167400||||||X|X
060167700|||X||||
060167900||X|||||
060168000|||X||||
060168100|X|X|||||
060168400|||X||||
060168500|||X||||
060168600|||X||||
060168700|||||||
060168800||X|||||
060168900|||X||||
060169000|||X||||
060169100|||X||||
060169200|||X||||
060169300|||X||||
060169400|||X||||
060169500||X|||||
060169600|X|X|||||
060169700|||X||||
060170000|||X||||
060170100|||||||
060170200|||||||
060170201|||||||
060170202|||||||
060170300||X|||||
060170400||X|||||
060170600|||X||||
060170800|||||||
060171100||||X|||
060171300|||X||||
060171400||X|||||
060171700||X|||||
060171800|||X||||
060172000|X|X|||||
060172300|X|X|||||
060172400|||X||||
060172700|||X||||
060172900|X|X|||||
060173000|||||||
060173100|||X||||
060173200|||X||||
060173300|||X||||
060173400|||X||||
060173600|||X||||
060173700|||X||||
060173800||X|||||
060173900|||||||
060174000|||X||||
060174100|||||||
060174200|||X||||
060174300|||X||||
060174400|||X||||
060174500|||X||||
060174600|||X||||
060174700||||X|||
060174800|||X||||
060174900||X|||||
060175100|||X||||
060175200||X|||||
060175300||X|||||
060175400|||||||
060175500|||||||
060175600|||X||||
060175700|||X||||
060175800|||X||||
060175900|||X||||
060176000|||X||||
060176100|||X||||
060176200|||X||||
060176300|||X||||
060176400|||X||||
060176500|||||||
060176600||||||X|
060176700||X|||||
060176800|X|X|||||
060176900|X|X|||||
060177000||X|||||
060177100|X|X|||||
060177200|||X||||
060177300|X|X|||||
060177400|X|X|||||
060177500||X|||||
060177600|X|X|||||
060177700|||X||||
060177900|||X||||
060178000||X|||||
060178100|||X||||
060178200|||X||||
060178300|||X||||
060178600||X|||||
060178800|X|X|||||
